2024-12-12 23:46:32.873 ERROR homer4 --- [           main] m.t.q.a.App                              : ===================================
2024-12-12 23:46:32.886  INFO homer4 --- [           main] m.t.q.a.App                              : load info Animal:202412-12. 13:56
2024-12-12 23:46:32.886  INFO homer4 --- [           main] m.t.q.a.App                              : makeSound-before
2024-12-12 23:46:32.887  WARN homer4 --- [           main] m.t.q.a.App                              : =stMakeSound= before called for func !public static void mil.teng.q2024.aspect4call.App.makeSound()!
2024-12-12 23:46:32.887  INFO homer4 --- [           main] m.t.q.a.App                              : inProject make sound
2024-12-12 23:46:32.888  INFO homer4 --- [           main] m.t.q.a.App                              : makeSound-after
2024-12-12 23:46:32.888  INFO homer4 --- [           main] m.t.q.a.App                              : message info sub-prj-aspect-caller: 2024-12-12T20:46:32.888Z
2024-12-12 23:46:32.888 ERROR homer4 --- [           main] m.t.q.a.App                              : message error sub-prj-aspect-caller: 2024-12-12T20:46:32.888Z
2024-12-12 23:46:32.889  WARN homer4 --- [           main] m.t.q.a.Cat                              : =agn= before called for func !public java.lang.String mil.teng.q2024.animals4classes.Animal.getName()!
2024-12-12 23:46:32.889  INFO homer4 --- [           main] m.t.q.a.App                              : vaska is name=Vaska age=3
2024-12-12 23:46:32.889  WARN homer4 --- [           main] m.t.q.a.Cat                              : =stMakeSound= before called for func !public abstract void mil.teng.q2024.animals4classes.Animal.makeSound()!
2024-12-12 23:46:32.889  INFO homer4 --- [           main] m.t.q.a.Animal                           : cat say-beg
2024-12-12 23:46:32.889  INFO homer4 --- [           main] m.t.q.a.SoundToolObj                     : SoundToolObj cat say meow! with name. Vaska
2024-12-12 23:46:32.889  INFO homer4 --- [           main] m.t.q.a.Animal                           : cat say-end
2024-12-12 23:46:32.889  INFO homer4 --- [           main] m.t.q.a.App                              : play start with RED ball
2024-12-12 23:46:32.890  WARN homer4 --- [           main] m.t.q.a.Cat                              : =pwb= before called for func !public abstract java.lang.String mil.teng.q2024.animals4classes.habit.HomeHabit.playingWoolBall(int, java.lang.String)!
2024-12-12 23:46:32.890  INFO homer4 --- [           main] m.t.q.a.Animal                           : cat Vaska play with ball.color=RED size=5. return retColor=GREEN
2024-12-12 23:46:32.890  INFO homer4 --- [           main] m.t.q.a.App                              : play return GREEN
2024-12-12 23:46:32.890  WARN homer4 --- [           main] m.t.q.a.Dog                              : =agn= before called for func !public java.lang.String mil.teng.q2024.animals4classes.Animal.getName()!
2024-12-12 23:46:32.890  INFO homer4 --- [           main] m.t.q.a.App                              : toto is name=Toto age=10
2024-12-12 23:46:32.890  WARN homer4 --- [           main] m.t.q.a.Dog                              : =agn= before called for func !public java.lang.String mil.teng.q2024.animals4classes.Animal.getName()!
2024-12-12 23:46:32.890  INFO homer4 --- [           main] m.t.q.a.App                              : animal Toto can't play
2024-12-12 23:46:32.890  WARN homer4 --- [           main] m.t.q.a.Dog                              : =stMakeSound= before called for func !public abstract void mil.teng.q2024.animals4classes.Animal.makeSound()!
2024-12-12 23:46:32.890  INFO homer4 --- [           main] m.t.q.a.Animal                           : dog say-beg
2024-12-12 23:46:32.890  INFO homer4 --- [           main] m.t.q.a.SoundToolObj                     : SoundToolObj dog say Bark! with name. Toto
2024-12-12 23:46:32.890  INFO homer4 --- [           main] m.t.q.a.Animal                           : dog say-end
2024-12-12 23:46:32.891  WARN homer4 --- [           main] m.t.q.a.InterProjectCall                 : =ipc= before called for func !public void mil.teng.q2024.aspect4call.InterProjectCall.someCall()!
2024-12-12 23:46:32.891  INFO homer4 --- [           main] m.t.q.a.InterProjectCall                 : someCall called
2024-12-12 23:46:32.891  INFO homer4 --- [           main] m.t.q.a.App                              : AnimalLombok-beg
2024-12-12 23:46:32.901  INFO homer4 --- [           main] m.t.q.a.App                              : animalLombok res:AnimalLombok(nameOne=first, nameTwo=last, dataLen=155)
2024-12-12 23:46:32.902  INFO homer4 --- [           main] m.t.q.a.App                              : AnimalLombok-end
2024-12-12 23:46:32.902 ERROR homer4 --- [           main] m.t.q.a.App                              : ========= done!
